Nom,Isin,Symbole,Marche,Mic
GLOBAL_ECOPOWER,FR0011289198,ALGEP,Alternext_Paris,ALXP
GLOBAL_INVESTMENT,FR0004060234,ALGIS,Alternext_Paris,ALXP
GOLD_BY_GOLD,FR0011208693,ALGLD,Alternext_Paris,ALXP
GPE_PAROT_(AUTO),FR0013204070,ALPAR,Alternext_Paris,ALXP
GROUPE_GUILLIN,FR0012819381,ALGIL,Alternext_Paris,ALXP
GROUPIMO,FR0010490961,ALIMO,Alternext_Paris,ALXP
H2O_INNOVATION_INC,CA4433003064,ALHEO,Alternext_Paris,ALXP
HARVEST,FR0010207795,ALHVS,Alternext_Paris,ALXP
HEURTEY_PETROCHEM,FR0010343186,ALHPC,Alternext_Paris,ALXP
HIOLLE_INDUSTRIES,FR0000077562,ALHIO,Alternext_Paris,ALXP
HITECHPROS,FR0010396309,ALHIT,Alternext_Paris,ALXP
HOLOSFIND,FR0010446765,ALHOL,Alternext_Paris,ALXP
HORIZONTALSOFTWARE,FR0013219367,ALHSW,Alternext_Paris,ALXP
HYBRIGENICS,FR0004153930,ALHYG,Alternext_Paris,ALXP
I.CERAM,FR0011511971,ALICR,Alternext_Paris,ALXP
I2S,FR0005854700,ALI2S,Alternext_Paris,ALXP
IDSUD,FR0000062184,ALIDS,Alternext_Paris,ALXP
IMMERSION,FR0013060100,ALIMR,Alternext_Paris,ALXP
INNOVEOX,FR0011066885,ALIOX,Alternext_Paris,ALXP
INTEGRAGEN,FR0010908723,ALINT,Alternext_Paris,ALXP
INTRASENSE,FR0011179886,ALINS,Alternext_Paris,ALXP
ISCOOL_ENTERTAIN.,FR0004060671,ALISC,Alternext_Paris,ALXP
IVALIS,FR0010082305,ALIVA,Alternext_Paris,ALXP
KERLINK,FR0013156007,ALKLK,Alternext_Paris,ALXP
KEYYO,FR0000185621,ALKEY,Alternext_Paris,ALXP
KINDY,FR0000052904,ALKDY,Alternext_Paris,ALXP
LEADMEDIA_GROUP,FR0011053636,ALLMG,Alternext_Paris,ALXP
LES_HOTELS_BAVEREZ,FR0007080254,ALLHB,Alternext_Paris,ALXP
LETS_GOWEX,ES0158252033,ALGOW,Alternext_Paris,ALXP
LEXIBOOK_LINGUIST.,FR0000033599,ALLEX,Alternext_Paris,ALXP
LOGIC_INSTRUMENT,FR0000044943,ALLOG,Alternext_Paris,ALXP
LUCIBEL,FR0011884378,ALUCI,Alternext_Paris,ALXP
MADVERTISE,FR0010812230,ALMNG,Alternext_Paris,ALXP
MAKHEIA_GROUP,FR0000072993,ALMAK,Alternext_Paris,ALXP
MASTRAD,FR0004155687,ALMAS,Alternext_Paris,ALXP
MDW,BE0974267966,ALMDW,Alternext_Paris,ALXP
MECELEC,FR0000061244,ALMEC,Alternext_Paris,ALXP
MECELEC_BSA_DEC19,FR0012057149,MCBS2,Alternext_Paris,ALXP
MEDIANTECHNOLOGIES,FR0011049824,ALMDT,Alternext_Paris,ALXP
MEDICREA_INTERNAT.,FR0004178572,ALMED,Alternext_Paris,ALXP
METHANOR,FR0011217710,ALMET,Alternext_Paris,ALXP
METHORIOS_CAPITAL,IT0004615396,ALMTH,Alternext_Paris,ALXP
MG_INTERNATIONAL,FR0010204453,ALMGI,Alternext_Paris,ALXP
MGI_DIGITAL_GRAPHI,FR0010353888,ALMDG,Alternext_Paris,ALXP
MICROWAVE_VISION,FR0004058949,ALMIC,Alternext_Paris,ALXP
MILIBOO,FR0013053535,ALMLB,Alternext_Paris,ALXP
MILLET_INNOVATION,FR0010304402,ALINN,Alternext_Paris,ALXP
MOULINVEST,FR0011033083,ALMOU,Alternext_Paris,ALXP
NEOLIFE,FR0011636083,ALNLF,Alternext_Paris,ALXP
NEOVACS,FR0004032746,ALNEV,Alternext_Paris,ALXP
NETBOOSTER,FR0000079683,ALNBT,Alternext_Paris,ALXP
NEXTEDIA,FR0004171346,ALNXT,Alternext_Paris,ALXP
NOVACYT,FR0010397232,ALNOV,Alternext_Paris,ALXP
NOXXON,NL0012044762,ALNOX,Alternext_Paris,ALXP
