Nom,Isin,Symbole,Marche,Mic,Nom
SI_PARTICIPATIONS,FR0000061582,ALSIP,Alternext_Paris,ALXP,WAREHOUSES
SIDETRADE,FR0010202606,ALBFR,Alternext_Paris,ALXP,CBO_TERRITORIA
SOLUTIONS_30_SE,FR0013188844,ALS30,Alternext_Paris,ALXP,SII
SPINEGUARD,FR0011464452,ALSGD,Alternext_Paris,ALXP,PIERRE_VACANCES
SPINEWAY,FR0011398874,ALSPW,Alternext_Paris,ALXP,WAVESTONE
SPOREVER,FR0010213215,ALSPO,Alternext_Paris,ALXP,TER_BEKE
STRADIM_ESPAC.FIN,FR0000074775,ALSAS,Alternext_Paris,ALXP,EMOVA_GROUP
STREAMWIDE,FR0010528059,ALSTW,Alternext_Paris,ALXP,OPTION
STREAMWIDE_BS,FR0012790756,STWDS,Alternext_Paris,ALXP,CARMAT
TECHNOFIRST,FR0011651819,ALFST,Alternext_Paris,ALXP,SOLVAC_NOM(RETAIL)
THERACLION,FR0010120402,ALTHE,Alternext_Paris,ALXP,EXACOMPTA_CLAIREF.
THERADIAG,FR0004197747,ALTER,Alternext_Paris,ALXP,SQLI
TOOLUX_SANDING,LU0394945660,ALTLX,Alternext_Paris,ALXP,VELCAN
TRAQUEUR,FR0004043487,ALTRA,Alternext_Paris,ALXP,MITHRA
TRILOGIQ,FR0010397901,ALTRI,Alternext_Paris,ALXP,FUTUREN
TRONICS,FR0004175099,ALTRO,Alternext_Paris,ALXP,SWORD_GROUP
TTI,FR0010383877,ALTTI,Alternext_Paris,ALXP,BURELLE
TUTO4PC.COM_GROUP,FR0011068766,ALTUT,Alternext_Paris,ALXP,CERENIS
TXCOM,FR0010654087,ALTXC,Alternext_Paris,ALXP,BUDGET_TELECOM
UCAR,FR0011070457,ALUCR,Alternext_Paris,ALXP,VRANKEN-POMMERY
UMANIS,FR0010949388,ALUMS,Alternext_Paris,ALXP,CA_TOULOUSE_31_CCI
VDI_GROUP,FR0010337865,ALVDI,Alternext_Paris,ALXP,SOGECLAIR
VELCAN,FR0010245803,ALVEL,Alternext_Paris,ALXP,ATENOR
VERGNET,FR0004155240,ALVER,Alternext_Paris,ALXP,HOME_INVEST_BE.
VEXIM,FR0011072602,ALVXM,Alternext_Paris,ALXP,CARE_PROPERTY_INV.
VEXIM_BS,FR0012353530,VXMBS,Alternext_Paris,ALXP,CRCAM_PARIS_ET_IDF
VIALIFE,FR0010326090,ALVIA,Alternext_Paris,ALXP,INTRASENSE
VISIATIV,FR0004029478,ALVIV,Alternext_Paris,ALXP,GPE_PAROT_(AUTO)
VISIOMED_GROUP,FR0011067669,ALVMG,Alternext_Paris,ALXP,NOVABASE
VOYAGEURS_DU_MONDE,FR0004045847,ALVDM,Alternext_Paris,ALXP,NOVACYT
WALLIX,FR0010131409,ALLIX,Alternext_Paris,ALXP,EUROSIC
WE.CONNECT,FR0013079092,ALWEC,Alternext_Paris,ALXP,EUROCASTLE_INVEST.
WEBORAMA,FR0010337444,ALWEB,Alternext_Paris,ALXP,KINDY
WEDIA,FR0010688440,ALWED,Alternext_Paris,ALXP,LINEDATA_SERVICES
WITBE,FR0013143872,ALWIT,Alternext_Paris,ALXP,BLUE
COFINA-SGPS,PTCFN0AE0003,CFN,Euronext_Lisbon,XLIS,CRCAM_NORM.SEINE
CIMPOR-SGPS,PTCPR0AM0003,CPR,Euronext_Lisbon,XLIS,CRCAM_ATL.VEND.CCI
AGUAS_DA_CURIA,PTCUR0AP0000,CUR,Easynext_Lisbon,ENXL,GENOMIC_VISION
CIPAN,PTCPN0AE0002,CPN,Easynext_Lisbon,ENXL,FONC._PARIS_NORD
CONDURIL,PTCDU0AE0003,CDU,Easynext_Lisbon,ENXL,GLOBAL_BIOENERGIES
COPAM,PTCPA0AP0006,CPA,Easynext_Lisbon,ENXL,GROUPE_CRIT
FENALU,PTFEN0AP0006,FEN,Easynext_Lisbon,ENXL,FLEURY_MICHON
LITHO_FORMAS,PTLIT0AE0005,LIT,Easynext_Lisbon,ENXL,MICROWAVE_VISION
OLIVEIRA_IRMAO,PTOIR0AE0003,OIR,Easynext_Lisbon,ENXL,PASSAT
S.CLUBE_BRAGA,PTSCB0AM0001,SCB,Easynext_Lisbon,ENXL,SECHE_ENVIRONNEM.
SONAGI,PTSNG0AE0007,SNG,Easynext_Lisbon,ENXL,VALUE8
TRANSINSULAR,PTTRA0AP0006,TRAAP,Easynext_Lisbon,ENXL,SONAE_IND.SGPS
AALBERTS_INDUSTR,NL0000852564,AALB,Euronext_Amsterdam,XAMS,STENTYS
ABN_AMRO_Group,NL0011540547,ABN,Euronext_Amsterdam,XAMS,CHEVRON
ACCELL_GROUP,NL0009767532,ACCEL,Euronext_Amsterdam,XAMS,PIXIUM_VISION
ACCSYS,GB00BQQFX454,AXS,Euronext_Amsterdam,XAMS,ETAM_DEVELOPPEMENT
AEGON,NL0000303709,AGN,Euronext_Amsterdam,XAMS,BLUELINEA
AHOLD_DEL,NL0011794037,AD,Euronext_Amsterdam,XAMS,STALLERGENES_GREER
AJAX,NL0000018034,AJAX,Euronext_Amsterdam,XAMS,PRODWARE
AKZO_NOBEL,NL0000009132,AKZA,Euronext_Amsterdam,XAMS,MERSEN_NV
ALTICE,NL0011333752,ATC,Euronext_Amsterdam,XAMS,HOLOSFIND
ALTICE_B,NL0011333760,ATCB,Euronext_Amsterdam,XAMS,AMPLITUDE_SURGICAL
AMG,NL0000888691,AMG,Euronext_Amsterdam,XAMS,ESKER
AMSTERDAM_COMMOD.,NL0000313286,ACOMO,Euronext_Amsterdam,XAMS,NETBOOSTER
AND_INTERNATIONAL,NL0000430106,AND,Euronext_Amsterdam,XAMS,FLEURYMBSAR22MAR20
AP_ALTERNAT_ASSETS,GB00B15Y0C52,AAA,Euronext_Amsterdam,XAMS,RODRIGUEZ_GROUP
APERAM,LU0569974404,APAM,Euronext_Amsterdam,XAMS,TESSI
ARCADIS,NL0006237562,ARCAD,Euronext_Amsterdam,XAMS,ARTOIS_NOM.
ARCELORMITTAL_SA,LU1598757687,MT,Euronext_Amsterdam,XAMS,ADL_PARTNER
ASM_INTERNATIONAL,NL0000334118,ASM,Euronext_Amsterdam,XAMS,HI-MEDIA
ASML_HOLDING,NL0010273215,ASML,Euronext_Amsterdam,XAMS,VASTNED_RETAIL_BEL
ASR_NEDERLAND,NL0011872643,ASRNL,Euronext_Amsterdam,XAMS,IPSOS_NV
ATRIUM_EUR_REALEST,JE00B3DCF752,ATRS,Euronext_Amsterdam,XAMS,VOLTA_FINANCE
AVANTIUM,NL0012047823,AVTX,Euronext_Amsterdam,XAMS,VETOQUINOL
BAM_GROEP_KON,NL0000337319,BAMNB,Euronext_Amsterdam,XAMS,ARTPRICE_COM
BASIC-FIT,NL0011872650,BFIT,Euronext_Amsterdam,XAMS,ARGAN
BATENBURG_TECHNIEK,NL0006292906,BATEN,Euronext_Amsterdam,XAMS,RIBER
BE_SEMICONDUCTOR,NL0000339760,BESI,Euronext_Amsterdam,XAMS,FERMENTALG
BETER_BED,NL0000339703,BBED,Euronext_Amsterdam,XAMS,NEWAYS_ELECTRONICS
BEVER_HOLDING,NL0000285278,BEVER,Euronext_Amsterdam,XAMS,NRJ_GROUP
BINCKBANK,NL0000335578,BINCK,Euronext_Amsterdam,XAMS,NB_PRIV_EQ_PARTN
BOSKALIS_WESTMIN,NL0000852580,BOKA,Euronext_Amsterdam,XAMS,KARDAN
BOUSSARD_GAVAUD_C,GG00B1XFMJ13,BGHLC,Euronext_Amsterdam,XAMS,VOLKSWAGEN
BOUSSARD_GAVAUDAN,GG00B1FQG453,BGHL,Euronext_Amsterdam,XAMS,A.S.T._GROUPE
BOUSSARD_GHL_GBP,GG00B39VMM07,BGHS,Euronext_Amsterdam,XAMS,FOUNTAINE_PAJOT
BPP_CLASS_A,BMG166341005,BPPA,Euronext_Amsterdam,XAMS,LOGIC_INSTRUMENT
BPP_CLASS_B,BMG166341187,BPPB,Euronext_Amsterdam,XAMS,HYDRATEC
BRILL_KON,NL0000442523,BRILL,Euronext_Amsterdam,XAMS,DIAGNOSTIC_MEDICAL
BROOKFIELD_ASSET_M,CA1125851040,BAMA,Euronext_Amsterdam,XAMS,FLORIDIENNE
BRUNEL_INTERNAT,NL0010776944,BRNL,Euronext_Amsterdam,XAMS,THERADIAG
BTG_GDS-APN,US05890C2044,BTGA,Euronext_Amsterdam,XAMS,KIADIS
BTG_GDS-CS,US05890C1053,BTGB,Euronext_Amsterdam,XAMS,PHILIP_MORRIS_INTL
BTG-BPP_EUR_UNIT,US05890C3034,BTGP,Euronext_Amsterdam,XAMS,ZENOBE_GRAMME_CERT
COCA-COLA_EUROPEAN,GB00BDCPN049,CCE,Euronext_Amsterdam,XAMS,DAMARTEX
CORBION,NL0010583399,CRBN,Euronext_Amsterdam,XAMS,SOFRAGI
CORE_LABORATORIES,NL0000200384,CLB,Euronext_Amsterdam,XAMS,IMPLANET
CTAC,NL0000345577,CTAC,Euronext_Amsterdam,XAMS,DELFINGEN
CURETIS,NL0011509294,CURE,Euronext_Amsterdam,XAMS,HIGH_CO
DELTA_LLOYD,NL0009294552,DL,Euronext_Amsterdam,XAMS,NEXTEDIA
DOC_DATA,NL0000345627,DOCD,Euronext_Amsterdam,XAMS,COFIDUR
DPA_GROUP,NL0009197771,DPA,Euronext_Amsterdam,XAMS,IDI
DSM_KON,NL0000009827,DSM,Euronext_Amsterdam,XAMS,OSE_IMMUNO
ESPERITE,NL0009272137,ESP,Euronext_Amsterdam,XAMS,CAPELLI
EUROCASTLE_INVEST.,GB00B94QM994,ECT,Euronext_Amsterdam,XAMS,BEAULIEU-AV._CERT
EUROCOMMERCIAL,NL0000288876,ECMPA,Euronext_Amsterdam,XAMS,BANCO_BILBAO_VIZC.
FLOW_TRADERS,NL0011279492,FLOW,Euronext_Amsterdam,XAMS,VEON
FNG_N.V.,NL0012047849,FNG,Euronext_Amsterdam,XAMS,GENKYOTEX
FORFARMERS,NL0011832811,FFARM,Euronext_Amsterdam,XAMS,ELEC.STRASBOURG
FUGRO,NL0000352565,FUR,Euronext_Amsterdam,XAMS,TIKEHAU_CAPITAL
GALAPAGOS,BE0003818359,GLPG,Euronext_Amsterdam,XAMS,HARVEST
GEMALTO,NL0000400653,GTO,Euronext_Amsterdam,XAMS,IMMOBEL
GRANDVISION,NL0010937066,GVNV,Euronext_Amsterdam,XAMS,MONTAIGNE_FASHION
GROOTHANDELSGEBOUW,NL0000440824,GROHA,Euronext_Amsterdam,XAMS,SCBSM
HAL_TRUST,BMG455841020,HAL,Euronext_Amsterdam,XAMS,DOCK.PETR.AMBES_AM
HeadFirst_Source_G,CWN814651014,HFS,Euronext_Amsterdam,XAMS,AUREA
HEIJMANS,NL0009269109,HEIJM,Euronext_Amsterdam,XAMS,INVENTIVA
